STATE/UT,YEAR,Crime,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees)
Andhra Pradesh,2013,TOTAL (MANUAL),125,45935535,709,68874322,9820,665499800,31032,1556482643
Arunachal Pradesh,2013,TOTAL (MANUAL),24,1311900,75,14664367,196,19761328,514,74271909
Assam,2013,TOTAL (MANUAL),246,24191045,923,31715819,4291,79530358,10515,375861459
Bihar,2013,TOTAL (MANUAL),579,84117031,1521,71414206,4185,51108610,21423,450587436
Chhattisgarh,2013,TOTAL (MANUAL),47,24493880,351,29891305,3527,181971357,5189,224732391
Goa,2013,TOTAL (MANUAL),11,1102500,37,9118050,385,48071165,1138,100171932
Gujarat,2013,TOTAL (MANUAL),288,369550492,1429,154923763,4980,524026600,15313,1371908607
Haryana,2013,TOTAL (MANUAL),154,82730389,763,141245723,6121,428154134,18620,905521356
Himachal Pradesh,2013,TOTAL (MANUAL),14,4046770,14,2571860,932,72793077,818,80018471
Jammu & Kashmir,2013,TOTAL (MANUAL),6,97262,87,8128876,1387,98180318,1862,117171217
Jharkhand,2013,TOTAL (MANUAL),232,36417735,568,38399164,1339,127133823,6839,214544290
Karnataka,2013,TOTAL (MANUAL),280,124552597,2150,264674533,6003,1499976785,19756,1129363512
Kerala,2013,TOTAL (MANUAL),67,34373810,784,49706958,2929,257303146,4079,250414403
Madhya Pradesh,2013,TOTAL (MANUAL),98,33186380,1832,173049926,11007,433512968,25045,927859507
Maharashtra,2013,TOTAL (MANUAL),833,467262934,9746,769345024,18328,1753758189,52670,5365022808
Manipur,2013,TOTAL (MANUAL),0,0,3,4721000,85,11433669,854,52244649
Meghalaya,2013,TOTAL (MANUAL),51,5858200,68,4256410,187,15570146,617,44691615
Mizoram,2013,TOTAL (MANUAL),4,33450,3,45130,374,23845253,643,32241766
Nagaland,2013,TOTAL (MANUAL),3,1377000,49,7359443,36,1715979,406,46148853
Odisha,2013,TOTAL (MANUAL),436,132534337,1678,186995185,3747,314042725,10044,3491435184
Punjab,2013,TOTAL (MANUAL),18,5149500,141,83025907,2707,257751480,4885,424336774
Rajasthan,2013,TOTAL (MANUAL),59,134866750,1065,223066031,5783,362015815,28928,1689257227
Sikkim,2013,TOTAL (MANUAL),0,0,6,396000,85,7565120,122,5528900
Tamil Nadu,2013,TOTAL (MANUAL),83,114467766,2186,169488394,5125,413483813,11950,1182580791
Tripura,2013,TOTAL (MANUAL),9,1528000,44,1097825,223,13204624,533,33088626
Uttar Pradesh,2013,TOTAL (MANUAL),596,234005427,3591,484754378,6683,511526154,41949,1597577736
Uttarakhand,2013,TOTAL (MANUAL),17,2890500,138,16917905,248,23030516,1596,77396054
West Bengal,2013,TOTAL (MANUAL),206,197300526,647,60809864,440,34589455,22904,4824046740
A&N Islands,2013,TOTAL (MANUAL),1,15000,1,95200,42,2789675,37,4582171
Chandigarh,2013,TOTAL (MANUAL),11,267650,62,1113770,258,18436364,1519,78966427
D&N Haveli,2013,TOTAL (MANUAL),1,210000,0,0,21,2180920,58,11468407
Daman & Diu,2013,TOTAL (MANUAL),6,23400,1,6000,19,3478260,38,6608635
Delhi UT,2013,TOTAL (MANUAL),33,21870900,1245,446914455,2835,400086237,30124,2848580314
Lakshadweep,2013,TOTAL (MANUAL),0,0,0,0,2,1000,8,126000
Puducherry,2013,TOTAL (MANUAL),1,15350,10,657000,71,21307198,594,34654701
